Subject,areaid,enddataarea,rowID,member,startdataarea,usageid,areamanagerid,areadesc,type,location
row-uwvf~7bqr_ztgb,363_HOOFD,29991231,row-uwvf~7bqr_ztgb,t5pc-eb34,20150101,GARAGEP,2093,Parking de Hoofdstad (Amsterdam),t5pc-eb34,177
row-yym5_rztg~eyp3,52_ROND,29991231,row-yym5_rztg~eyp3,t5pc-eb34,20131108,GARAGEP,2449,Garage Het Rond (Winschoten),t5pc-eb34,216
row-w8g4-irw6.2upj,141_OBORGH,29991231,row-w8g4-irw6.2upj,t5pc-eb34,20130919,GARAGEP,141,P5 Oosterborgh (Almelo),t5pc-eb34,28
row-zpj2.9ssd-sizc,307_BEES,29991231,row-zpj2.9ssd-sizc,t5pc-eb34,20131118,GARAGEP,2448,Garage Beestenmarkt (Amersfoort),t5pc-eb34,226
row-hxwj_pnj3-aixy,1684_MAA,29991231,row-hxwj_pnj3-aixy,t5pc-eb34,20131004,GARAGEP,1684,Garage Maasburg,t5pc-eb34,69
row-ud8a~fkir-aug8,106_TRIA,29991231,row-ud8a~fkir-aug8,t5pc-eb34,20131107,GARAGEP,2449,Garage Triade (Assen),t5pc-eb34,91
row-tdr6-nf27-5bzw,935_BONNEF,29991231,row-tdr6-nf27-5bzw,t5pc-eb34,20140101,GARAGEP,2448,Garage Bonnefantenmuseum (Maastricht),t5pc-eb34,171
row-svgu_sgzi~dvg4,106_MERC,29991231,row-svgu_sgzi~dvg4,t5pc-eb34,20131107,GARAGEP,2449,Garage Mercurius (Assen),t5pc-eb34,88
row-imyq_yxiy-xytx,603_BOGP6,29991231,row-imyq_yxiy-xytx,t5pc-eb34,20140101,GARAGEP,2448,In de Bogaard P6 (Rijswijk),t5pc-eb34,155
row-5jp3.acxb.x4ua,622_STAD,29991231,row-5jp3.acxb.x4ua,t5pc-eb34,20131114,GARAGEP,2461,Garage Stadhuis (Vlaardingen),t5pc-eb34,209
row-cqpi~rmha_kevu,599_HART,29991231,row-cqpi~rmha_kevu,t5pc-eb34,20141118,GARAGEP,2448,Garage Hart van Zuid (Rotterdam),t5pc-eb34,38
row-mwwc_m78i.mz7z,1674_NWM,29991231,row-mwwc_m78i.mz7z,t5pc-eb34,20131009,GARAGEP,1674,Garage Nieuwe Markt (Roosendaal),t5pc-eb34,122
row-syxx~5772-f6es,363_MAHL,29991231,row-syxx~5772-f6es,t5pc-eb34,20150204,GARAGEP,2448,Garage Mahler (Amsterdam),t5pc-eb34,129
row-hgm4.j6nq~9s3w,153_CENT,29991231,row-hgm4.j6nq~9s3w,t5pc-eb34,20131128,GARAGEP,2448,Garage Centrum (Enschede),t5pc-eb34,178
row-kkmx-pped~6in3,479_ROZEN,29991231,row-kkmx-pped~6in3,t5pc-eb34,20140101,GARAGEP,2448,Rozenhof (Zaanstad),t5pc-eb34,42
row-pg44~7zxv_773q,957_P10,29991231,row-pg44~7zxv_773q,t5pc-eb34,20140101,GARAGEP,2448,Garage P10 Oranjerie (Roermond),t5pc-eb34,141
row-22ax_xzw9-33cm,202_BROE,29991231,row-22ax_xzw9-33cm,t5pc-eb34,20131122,GARAGEP,2448,Garage Broerenstraat (Arnhem),t5pc-eb34,147
row-rjzj~qwrg-r7e8,576_VICT,29991231,row-rjzj~qwrg-r7e8,t5pc-eb34,20131107,GARAGEP,2449,Garage Victoriberg (Noordwijkerhout),t5pc-eb34,24
row-c84y.9sz6_abr9,14_MUSEUM,29991231,row-c84y.9sz6_abr9,t5pc-eb34,20130916,GARAGEP,2448,Garage Museum Centrum (Groningen),t5pc-eb34,62
row-scdb.hqyd.692s,363_ORAN,29991231,row-scdb.hqyd.692s,t5pc-eb34,20131121,GARAGEP,2448,Garage Oranjekwartier (Amsterdam),t5pc-eb34,68
row-w66s-bdsv~p682,363_FLOW,29991231,row-w66s-bdsv~p682,t5pc-eb34,20131111,GARAGEP,2459,Garage Flowparking (Amsterdam),t5pc-eb34,40
row-fqtw.z2p6_zeed,518_GRMA,29991231,row-fqtw.z2p6_zeed,t5pc-eb34,20131125,GARAGEP,2448,Garage Grote Markt (Den Haag),t5pc-eb34,151
row-yfdn.fp32~k5qu,394_SPAAR,29991231,row-yfdn.fp32~k5qu,t5pc-eb34,20140101,GARAGEP,2448,Garage Spaarne Ziekenhuis (Hoofddorp),t5pc-eb34,219
row-mb4n-4s9h-3dtd,307_STJO,29991231,row-mb4n-4s9h-3dtd,t5pc-eb34,20131118,GARAGEP,2448,Garage St. Jorisplein (Amersfoort),t5pc-eb34,43
row-5qxb_y5ri-wn22,599_WEST,29991231,row-5qxb_y5ri-wn22,t5pc-eb34,20131112,GARAGEP,2459,Garage Westblaak (Rotterdam),t5pc-eb34,210
